text,label,source,category
Their product was awful.,Negative,original_manual,template
The price felt perfect to me.,Positive,original_manual,template
A wonderful onboarding overall.,Positive,original_manual,template
The support team felt terrible to me.,Negative,original_manual,template
A helpful delivery overall.,Positive,original_manual,template
Their customer service was broken.,Negative,original_manual,template
The update fixed every issue I had.,Positive,enriched_manual,temporal
Their team was smooth.,Positive,original_manual,template
Such an impressive platform.,Positive,original_manual,template
Such a disappointing software.,Negative,original_manual,template
Such an impressive support team.,Positive,original_manual,template
The platform was frustrating.,Negative,original_manual,template
The interface felt great to me.,Positive,original_manual,template
The price was excellent.,Positive,original_manual,template
Lightweight enough to carry all day without noticing.,Positive,enriched_manual,descriptive
When will the next model be released?,Neutral,enriched_manual,question
The quality felt reliable to me.,Positive,original_manual,template
It runs on two AA batteries.,Neutral,enriched_manual,factual
Each box contains twelve units.,Neutral,enriched_manual,factual
Stopped charging on day two. Day. Two.,Negative,enriched_manual,emphasis
"I ordered two, one for home and one for work.",Neutral,enriched_manual,context
It ships from a warehouse in the next state.,Neutral,enriched_manual,factual
Keep the receipt in case you need to return it.,Neutral,enriched_manual,instruction
Their dashboard was reliable.,Positive,original_manual,template
Does the job beautifully and stays out of the way.,Positive,enriched_manual,descriptive
Charge it fully before the first use.,Neutral,enriched_manual,instruction
Their update was reliable.,Positive,original_manual,template
Their onboarding was friendly.,Positive,original_manual,template
"Honestly didn't expect much, but this completely won me over.",Positive,enriched_manual,negation_contrast
"Looks great in photos, falls apart in person.",Negative,enriched_manual,mixed_lean_negative
The battery lasts forever and charging is lightning fast.,Positive,enriched_manual,intensifier
Such a rude dashboard.,Negative,original_manual,template
Honestly the service is impressive.,Positive,original_manual,template
"I was skeptical, but the results speak for themselves.",Positive,enriched_manual,contrast
"If it freezes, hold the power button for ten seconds.",Neutral,enriched_manual,instruction
Returned it the same day it arrived.,Negative,enriched_manual,implicit
I found the customer service really frustrating.,Negative,original_manual,template
The app is available on both Android and iOS.,Neutral,enriched_manual,factual
Their delivery was smooth.,Positive,original_manual,template
Restart the router if the connection drops.,Neutral,enriched_manual,instruction
It replaced an older unit we'd had for years.,Neutral,enriched_manual,context
The battery dies faster than my motivation on Mondays.,Negative,enriched_manual,colloquial
Way better than the model I had before.,Positive,enriched_manual,comparative
Such a frustrating dashboard.,Negative,original_manual,template
The free trial was the best part.,Negative,enriched_manual,sarcasm_implicit
Honestly the software is frustrating.,Negative,original_manual,template
Crashes? Not once since I installed it.,Positive,enriched_manual,negation_to_positive
The seller included a handwritten thank-you note.,Neutral,enriched_manual,context
It was a gift from my brother.,Neutral,enriched_manual,context
A rude tool overall.,Negative,original_manual,template
I've recommended it to literally everyone.,Positive,enriched_manual,implicit
A slow experience overall.,Negative,original_manual,template
I bought this for my office last March.,Neutral,enriched_manual,context
The manual is also available as a PDF online.,Neutral,enriched_manual,factual
The model number is printed on the base.,Neutral,enriched_manual,factual
Their experience was poor.,Negative,original_manual,template
The clock resets if you unplug it.,Neutral,enriched_manual,descriptive
A fantastic quality overall.,Positive,original_manual,template
Customer service hung up on me twice.,Negative,enriched_manual,descriptive
The app logs me out every five minutes.,Negative,enriched_manual,descriptive
The subscription renews automatically each month.,Neutral,enriched_manual,factual
"To reset it, press both buttons at once.",Neutral,enriched_manual,instruction
A frustrating delivery overall.,Negative,original_manual,template
The return window is thirty days.,Neutral,enriched_manual,factual
Update the firmware to enable the new mode.,Neutral,enriched_manual,instruction
Is the app free to download?,Neutral,enriched_manual,question
The device weighs about two hundred grams.,Neutral,enriched_manual,factual
Such a slow website.,Negative,original_manual,template
The store opens at nine and closes at six.,Neutral,enriched_manual,factual
The screen is gorgeous in direct sunlight.,Positive,enriched_manual,descriptive
A frustrating dashboard overall.,Negative,original_manual,template
Their experience was outstanding.,Positive,original_manual,template
My whole team switched to it after seeing mine.,Positive,enriched_manual,implicit_social_proof
"Paid for express shipping, arrived two weeks late.",Negative,enriched_manual,contrast
Worse than the cheap one it replaced.,Negative,enriched_manual,comparative
"Compared spec for spec, the two are nearly identical.",Neutral,enriched_manual,comparative_neutral
Customer service turned my bad week around.,Positive,enriched_manual,contrast
Such a reliable service.,Positive,original_manual,template
"Sure, it works, if you enjoy waiting ten minutes to load.",Negative,enriched_manual,sarcasm
It supports files up to two gigabytes.,Neutral,enriched_manual,factual
Held up perfectly after a year of daily use.,Positive,enriched_manual,durability
"Feels cheap, sounds cheap, is cheap.",Negative,enriched_manual,repetition
We use it mainly for video calls.,Neutral,enriched_manual,context
Does this come with a wall adapter?,Neutral,enriched_manual,question
Their update was helpful.,Positive,original_manual,template
A frustrating website overall.,Negative,original_manual,template
"Great in theory, useless in practice.",Negative,enriched_manual,contrast
It's roughly the price of a typical mid-range phone.,Neutral,enriched_manual,comparative_neutral
The experience felt helpful to me.,Positive,original_manual,template
I found the price really broken.,Negative,original_manual,template
Do you ship to rural addresses?,Neutral,enriched_manual,question
Install the app before connecting the device.,Neutral,enriched_manual,instruction
Their tool was impressive.,Positive,original_manual,template
"Crashes constantly, support blames my phone.",Negative,enriched_manual,descriptive
Shipping usually takes three to five business days.,Neutral,enriched_manual,factual
"No regrets, best purchase this year.",Positive,enriched_manual,negation_phrasing
I found the dashboard really rude.,Negative,original_manual,template
Honestly the setup process is perfect.,Positive,original_manual,template
How long does the battery take to charge?,Neutral,enriched_manual,question
An impressive product overall.,Positive,original_manual,template
Such a slow quality.,Negative,original_manual,template
A great website overall.,Positive,original_manual,template
Honestly the tool is unreliable.,Negative,original_manual,template
A slow delivery overall.,Negative,original_manual,template
Spent more time on hold than actually using it.,Negative,enriched_manual,implicit
Honestly the dashboard is great.,Positive,original_manual,template
It overheats if you so much as look at it.,Negative,enriched_manual,hyperbole
An unreliable app overall.,Negative,original_manual,template
A perfect service overall.,Positive,original_manual,template
"Oh fantastic, another update that breaks everything.",Negative,enriched_manual,sarcasm
It arrived in standard cardboard packaging.,Neutral,enriched_manual,context
I found the update really reliable.,Positive,original_manual,template
"Smooth, quiet, and barely uses any power.",Positive,enriched_manual,descriptive
A broken onboarding overall.,Negative,original_manual,template
Save your money and buy literally anything else.,Negative,enriched_manual,advice
Worth every penny and then some.,Positive,enriched_manual,idiomatic
A poor quality overall.,Negative,original_manual,template
There are two USB ports on the back.,Neutral,enriched_manual,factual
Such a rude software.,Negative,original_manual,template
Honestly the customer service is rude.,Negative,original_manual,template
It connects over Bluetooth or Wi-Fi.,Neutral,enriched_manual,factual
You'll need an adapter for European outlets.,Neutral,enriched_manual,instruction
The cable is about one meter long.,Neutral,enriched_manual,factual
The color in person matches the website.,Neutral,enriched_manual,factual
A confusing platform overall.,Negative,original_manual,template
Buttons stopped responding within a month.,Negative,enriched_manual,descriptive
I found the tool really impressive.,Positive,original_manual,template
The default password is on the sticker underneath.,Neutral,enriched_manual,instruction
Three emails to support and still no reply.,Negative,enriched_manual,implicit
The service was friendly.,Positive,original_manual,template
"It comes in three colors: black, white, and grey.",Neutral,enriched_manual,factual
You can change the language in the settings menu.,Neutral,enriched_manual,instruction
The newer version looks identical to the old one.,Neutral,enriched_manual,comparative_neutral
I found the onboarding really horrible.,Negative,original_manual,template
The software requires at least eight gigabytes of RAM.,Neutral,enriched_manual,factual
Which port is for the headphones?,Neutral,enriched_manual,question
"Delivery was a day early, which never happens.",Positive,enriched_manual,negation_context
The interface is similar to the previous release.,Neutral,enriched_manual,comparative_neutral
"Tastes exactly like the real thing, maybe better.",Positive,enriched_manual,comparative
This is the second one I've owned.,Neutral,enriched_manual,context
Setup took two minutes and everything just worked.,Positive,enriched_manual,implicit
Pair it with the app to see usage stats.,Neutral,enriched_manual,instruction
"Slower with every update, not faster.",Negative,enriched_manual,negation_comparative
Half the features are locked behind a paywall.,Negative,enriched_manual,descriptive
"Can't fault it, does exactly what it promises.",Positive,enriched_manual,negation_to_positive
The app finally feels polished after the redesign.,Positive,enriched_manual,temporal
I've been using it for about a week now.,Neutral,enriched_manual,context
